Ticker,PBR,PBR,PBR,PBR,PBR,^BVSP,^BVSP,^BVSP,^BVSP,^BVSP,BDORY,BDORY,BDORY,BDORY,BDORY
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-01-02,5.424524492384738,5.505689365345371,5.404232790363777,5.502307415008545,13764800.0,115652.0,118573.0,115649.0,118573.0,5162700.0,4.4562358895392125,4.489816976479912,4.4327287763990855,4.469668388366699,187600.0
2020-01-03,5.468488523558808,5.509071282313851,5.400851129834626,5.407614707946777,17661700.0,118564.0,118792.0,117341.0,117707.0,6834500.0,4.419297694771413,4.46295341002446,4.412581603331941,4.432730197906494,382600.0
2020-01-06,5.356886924540349,5.512452774109455,5.356886924540349,5.485397815704346,16614500.0,117707.0,117707.0,116269.0,116878.0,6570000.0,4.352134388905903,4.42601330286318,4.352134388905903,4.358850479125977,594800.0
2020-01-07,5.417761084802692,5.448197995563245,5.373796693984177,5.431288242340088,11277300.0,116872.0,117076.0,115965.0,116662.0,4854100.0,4.325269224815152,4.355492430308809,4.301762429545004,4.3387017250061035,298800.0
2020-01-08,5.4008519629364224,5.417761394605945,5.282486263770347,5.30954122543335,22534200.0,116667.0,117335.0,115693.0,116247.0,5910500.0,4.321908941791884,4.3622064229902895,4.308476448059082,4.308476448059082,165200.0
2020-01-09,5.316304818495863,5.363650837397371,5.275722378357185,5.326450347900391,13372500.0,116248.0,116820.0,115411.0,115947.0,5953500.0,4.244675000688775,4.248032886159149,4.164079664533426,4.187586784362793,1079000.0
2020-01-10,5.32983137644651,5.3704138095641625,5.275721465622973,5.289248943328857,10099200.0,115948.0,116745.0,114952.0,115503.0,4783400.0,4.224525922306702,4.234600218838315,4.083484489839678,4.090200901031494,396000.0
2020-01-13,5.255431707712513,5.272341140687077,5.204703731309431,5.235140323638916,19171900.0,115503.0,117333.0,115503.0,117325.0,5685100.0,4.070051202865242,4.113706906425381,4.056618703327973,4.110348701477051,774800.0
2020-01-14,5.204702820081242,5.218230299588409,5.143829001038714,5.197938919067383,12522800.0,117325.0,117705.0,116610.0,117632.0,5361700.0,4.0734082904060775,4.086840786258577,4.046543298701078,4.080124378204346,487600.0
2020-01-15,5.13368303246824,5.1505921385139475,5.018699305242494,5.028844833374023,18859300.0,117632.0,117632.0,116188.0,116414.0,5569400.0,4.0263963530965565,4.02975455875699,3.952517750103751,3.9693081378936768,2555400.0
2020-01-16,5.059282254185286,5.059282254185286,4.981499003888004,5.035609245300293,16989500.0,116415.0,117106.0,115961.0,116704.0,5422700.0,3.9793813259302433,3.9995299121455035,3.9525163308058944,3.982739210128784,161600.0
2020-01-17,5.076191777141958,5.143829176991436,5.055900395926832,5.126919746398926,18986400.0,116710.0,118479.0,116710.0,118478.0,4947200.0,4.039827824706705,4.059976733272122,4.01632103159375,4.049902439117432,207000.0
2020-01-20,,,,,,118478.0,118862.0,117928.0,118862.0,3843500.0,,,,,
2020-01-21,5.106628371920486,5.106628371920486,4.981498786786015,4.995026588439941,18235400.0,118861.0,118861.0,117026.0,117026.0,5085600.0,3.952515802163137,3.962590093923346,3.8349812240221715,3.8752787113189697,3389200.0
2020-01-22,5.008554067573324,5.025463174599646,4.971353258066114,4.995026588439941,11145500.0,117035.0,118401.0,117035.0,118391.0,5765700.0,3.922293824557927,3.9290099143981934,3.875279914651821,3.9290099143981934,1011200.0
2020-01-23,4.947680815634271,5.052518710268738,4.883425040517139,5.042373180389404,20195400.0,118391.0,119535.0,116906.0,119528.0,6572400.0,4.0163218310941495,4.180870056152344,3.9928150333018646,4.180870056152344,1310600.0
2020-01-24,5.0559000832798935,5.0559000832798935,4.920625291946063,4.995026588439941,19882500.0,119528.0,119593.0,118108.0,118376.0,4778700.0,4.100274560128396,4.130497765280802,4.073409560049827,4.086842060089111,676600.0
2020-01-27,4.79211464725301,4.8394609910952955,4.768441636592158,4.805642127990723,21233900.0,118347.0,118347.0,114376.0,114482.0,6097800.0,4.002888841009178,4.05661884098148,4.002888841009178,4.0096049308776855,1405800.0
2020-01-28,4.883424706450161,4.97135348611087,4.846224217757042,4.903716087341309,18520900.0,114482.0,116797.0,114475.0,116479.0,5229400.0,4.023037288033161,4.106990490073146,4.006246903830005,4.083483695983887,277000.0
2020-01-29,4.954445031963948,4.961208934433876,4.842843221375097,4.859752655029297,17033300.0,116494.0,117171.0,115164.0,115385.0,5097800.0,4.039827225147203,4.049901838062735,3.9390833377838135,3.9390833377838135,335800.0
2020-01-30,4.738003671750167,4.9070973046675554,4.738003671750167,4.900333404541016,20339800.0,115375.0,115528.0,112825.0,115528.0,6315600.0,3.8584898310763487,3.935726958342834,3.824908735954665,3.878638744354248,4251600.0
2020-01-31,4.802259359653676,4.822550738566191,4.738003917718343,4.771822452545166,17441700.0,115518.0,115518.0,113148.0,113761.0,6219900.0,3.8181914416878246,3.841698234861856,3.791326443701493,3.794684648513794,527000.0
2020-02-03,4.815787880226933,4.876661707617073,4.775205436140372,4.802260398864746,13380100.0,113761.0,115299.0,113467.0,114629.0,5512200.0,3.8584886404093415,3.9055025433793054,3.8517725515599257,3.8652050495147705,578600.0
2020-02-04,4.8766620886834975,4.978118368088076,4.85298907507999,4.859752655029297,23990800.0,114631.0,116556.0,114631.0,115557.0,5829400.0,3.892069791438316,3.9122183769277337,3.8215491017133703,3.8282651901245117,221600.0
2020-02-05,4.964590828231699,4.974736359298593,4.8428431653464985,4.880043983459473,32985300.0,115563.0,117701.0,115562.0,116028.0,7173800.0,3.9928156541782647,4.056619966788548,3.9760249444630897,3.9995317459106445,947800.0
2020-02-06,5.0153178720446485,5.066045840452268,4.8901886037880375,4.947680473327637,104398900.0,116033.0,117382.0,114723.0,115190.0,7382400.0,3.9760244646425216,3.9760244646425216,3.8652062422543523,3.878638744354248,189800.0
2020-02-07,4.984881273212444,4.991645174766714,4.832697035967725,4.930771350860596,39589600.0,115190.0,115190.0,113769.0,113770.0,6594100.0,3.8618478021907285,3.912219601942953,3.8517735062915017,3.905503511428833,124600.0
2020-02-10,4.886805839389102,4.900333316879682,4.812404551930662,4.869896411895752,29054300.0,113771.0,114176.0,112134.0,112570.0,7486300.0,3.8416983959857203,3.8584891004954027,3.7980430126190186,3.7980430126190186,570800.0
